year,ndwi
2010,0.722
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,0.099
2010,
2010,
2010,0.248
2010,-0.208
2010,-0.099
2010,0.114
2010,-0.145
2010,0.041
2010,
2010,-0.199
2010,
2010,-0.115
2010,
2010,-0.123
2010,-0.129
2010,-0.106
2010,-0.116
2010,-0.046
2010,0.159
2010,-0.082
2010,-0.007
2010,
2010,0.107
2010,-0.084
2010,-0.015
2010,
2010,-0.123
2010,0.058
2010,0.254
2010,-0.018
2010,-0.147
2010,
2010,0.059
2010,0.036
2010,-0.14
2010,-0.112
2010,-0.116
2010,0.025
2010,-0.002
2010,-0.16
2010,
2010,0.008
2010,0.014
2010,
2010,0.032
2010,
2010,0.007
2010,-0.074
2010,-0.013
2010,0.015
2010,
2010,
2010,
2010,0.089
2010,0.273
2010,0.01
2010,-0.082
2010,-0.167
2010,
2010,0.012
2010,0
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,
2010,0.002
2010,
2010,-0.17
2010,
2010,-0.123
2010,
2010,0.254
2010,0.005
2010,-0.086
2010,
2010,
2010,0.011
2010,-0.145
2010,-0.003
2010,
2010,-0.133
2010,
2010,0.244
2010,0.011
2010,-0.089
2010,
2010,
2010,0.075
2010,-0.148
2010,
2010,
2010,-0.112
2010,
2010,0.26
2010,-0.019
2010,-0.093
2010,-0.065
2010,-0.161
2010,
2010,-0.145
2010,-0.141
2010,0.227
2010,0.339
2010,
2011,0.038
2011,
2011,-0.183
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,0.246
2011,0.064
2011,-0.195
2011,-0.09
2011,0.106
2011,0.013
2011,0.023
2011,-0.198
2011,
2011,-0.123
2011,
2011,
2011,
2011,-0.118
2011,0.022
2011,
2011,0.036
2011,-0.092
2011,0.057
2011,
2011,-0.117
2011,0.044
2011,0.203
2011,-0.078
2011,
2011,0.002
2011,-0.15
2011,-0.133
2011,-0.141
2011,0.017
2011,0.177
2011,-0.047
2011,-0.088
2011,-0.132
2011,-0.071
2011,0.004
2011,-0.093
2011,
2011,-0.009
2011,0.1
2011,-0.028
2011,-0.079
2011,-0.19
2011,
2011,0.015
2011,0.011
2011,0.16
2011,-0.021
2011,-0.09
2011,-0.194
2011,
2011,0.014
2011,-0.005
2011,-0.098
2011,-0.193
2011,-0.111
2011,
2011,-0.152
2011,-0.049
2011,-0.032
2011,
2011,0.022
2011,0.165
2011,-0.187
2011,-0.115
2011,
2011,-0.151
2011,-0.037
2011,-0.039
2011,-0.139
2011,0.001
2011,
2011,-0.088
2011,-0.003
2011,-0.094
2011,0.088
2011,
2011,-0.186
2011,-0.169
2011,
2011,-0.036
2011,-0.099
2011,-0.204
2011,
2011,
2011,-0.158
2011,-0.032
2011,
2011,-0.187
2011,-0.173
2011,0.037
2011,
2011,-0.098
2011,-0.12
2011,-0.146
2011,-0.023
2011,
2011,-0.137
2011,0.026
2011,
2011,-0.201
2011,-0.079
2011,0.109
2011,-0.031
2011,-0.059
2011,-0.191
2011,-0.178
2011,-0.106
2011,-0.089
2011,-0.11
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,
2011,0.501
2011,
2011,
2011,0.542
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,
2012,0.472
2012,-0.085
2012,-0.115
2012,-0.107
2012,0.044
2012,0.11
2012,-0.123
2012,-0.133
2012,-0.114
2012,
2012,
2012,-0.073
2012,-0.104
2012,-0.143
2012,-0.079
2012,0.081
2012,
2012,
2012,-0.007
2012,-0.099
2012,-0.08
2012,-0.082
2012,0.049
2012,
2012,-0.053
2012,
2012,-0.082
2012,-0.039
2012,0.081
2012,-0.054
2012,0.021
2012,0.069
2012,-0.077
2012,-0.063
2012,-0.07
2012,
