year,ndwi
2012,0.209
2012,0.005
2012,
2012,-0.12
2012,-0.062
2012,0.094
2012,-0.074
2012,-0.005
2012,0.018
2012,-0.088
2012,-0.102
2012,0.037
2012,
2012,-0.028
2012,-0.084
2012,
2012,-0.108
2012,-0.024
2012,-0.018
2012,-0.094
2012,-0.015
2012,-0.111
2012,0.015
2012,
2012,-0.092
2012,-0.011
2012,
2012,-0.141
2012,-0.138
2012,
2012,0.006
2012,0.179
2012,-0.011
2012,-0.094
2012,-0.122
2012,-0.014
2012,-0.043
2012,-0.126
2012,
2012,0.029
2012,0.157
2012,-0.007
2012,-0.089
2012,
2012,
2012,0.005
2012,
2012,-0.012
2012,-0.025
2012,-0.146
2012,
2012,-0.098
2012,0.021
2012,0.23
2012,-0.008
2012,-0.093
2012,-0.162
2012,
2012,0.02
2012,0.005
2012,
2012,0.006
2012,0.157
2012,-0.002
2012,-0.09
2012,-0.173
2012,
2012,
2012,0.002
2012,-0.021
2012,-0.147
2012,
2012,-0.114
2012,0.019
2012,0.141
2012,-0.009
2012,-0.087
2012,
2012,
2012,0.053
2012,-0.039
2012,-0.156
2012,
2012,-0.016
2012,-0.097
2012,-0.177
2012,
2012,0.079
2012,-0.004
2012,-0.048
2012,
2012,
2012,
2012,
2012,-0.183
2012,
2012,
2012,-0.115
2012,
2012,
2012,-0.099
2012,0.064
2012,0.239
2012,-0.019
2012,
2012,-0.058
2012,-0.006
2012,-0.118
2012,
2012,-0.063
2012,-0.159
2012,-0.147
2012,-0.103
2012,0.075
2012,
2012,-0.029
2012,-0.032
2012,-0.067
2012,
2012,-0.071
2012,0.044
2012,0.104
2012,-0.052
2012,-0.091
2012,
2012,
2012,0.102
2012,-0.173
2012,
2012,
2012,-0.102
2012,0.051
2012,0.015
2012,-0.153
2012,-0.14
2012,
2012,
2012,
2013,
2013,
