year,ndwi
2000,-0.107
2000,
2000,
2000,0.408
2000,-0.129
2000,0.199
2000,0.243
2000,0.556
2000,-0.078
2000,-0.098
2000,
2000,
2000,
2000,-0.161
2000,
2000,0.278
2000,0.405
2000,0.396
2000,-0.128
2000,0.069
2000,0.363
2000,-0.126
2000,-0.068
2000,-0.089
2000,-0.095
2000,-0.09
2000,-0.038
2000,-0.005
2000,0.114
2000,-0.032
2000,-0.063
2000,
2000,-0.089
2000,-0.014
2000,-0.129
2000,-0.001
2000,-0.147
2000,-0.076
2000,0.032
2000,0.141
2000,0.349
2000,-0.014
2000,-0.099
2000,-0.142
2000,-0.109
2000,-0.109
2000,0.107
2000,-0.126
2000,0.005
2000,0.171
2000,-0.197
2000,-0.13
2000,0.059
2000,0.243
2000,-0.162
2000,-0.073
2000,0.073
2000,-0.129
2000,0.004
2000,-0.043
2000,
2000,-0.004
2000,-0.091
2000,-0.202
2000,-0.072
2000,0.095
2000,-0.146
2000,
2000,
2000,0.462
2000,-0.207
2000,-0.142
2000,-0.032
2000,0.224
2000,-0.101
2000,-0.043
2000,0.181
2000,-0.143
2000,0.094
2000,0.443
2000,
2000,0.025
2001,0.013
2001,0.046
2001,0.405
2001,
2001,
2001,
2001,
2001,0.687
2001,
2001,-0.098
2001,-0.089
2001,
2001,0.038
2001,0.18
2001,-0.2
2001,-0.193
2001,-0.12
2001,-0.03
2001,-0.066
2001,-0.128
2001,-0.055
2001,
2001,-0.054
2001,-0.001
2001,
2001,-0.138
2001,-0.155
2001,-0.036
2001,0.025
2001,
2001,-0.046
2001,-0.089
2001,-0.153
2001,
2001,0.129
2001,-0.039
2001,
2001,-0.048
2001,-0.084
2001,-0.088
2001,-0.015
2001,-0.016
2001,0.179
2001,0.137
2001,-0.197
2001,-0.09
2001,-0.192
2001,
2001,0.016
2001,-0.204
2001,
2001,-0.14
2001,-0.004
2001,0.104
2001,-0.092
2001,-0.207
2001,
2001,0.025
2001,0.259
2001,-0.132
2001,0.001
2001,0.216
2001,-0.081
2001,0.122
2001,0.434
2001,-0.093
2001,-0.201
2001,-0.066
2001,0.146
2001,-0.212
2001,
2001,-0.063
2001,
2001,0.16
2001,
2001,-0.15
2001,-0.024
2001,-0.141
2001,-0.043
2001,-0.219
2001,0.182
2001,-0.122
2001,-0.045
2001,-0.152
2001,0.019
2001,-0.106
2001,-0.113
2001,
2001,
2001,0.691
2002,
2002,
2002,0.448
2002,
2002,
2002,0.552
2002,-0.014
2002,0.028
2002,0.387
2002,0.045
2002,-0.025
2002,-0.126
2002,0.142
2002,0.481
2002,-0.076
2002,-0.05
2002,-0.058
2002,-0.044
2002,-0.011
2002,0.079
2002,0.003
2002,0.062
2002,0.226
2002,0.004
2002,0.178
2002,0.31
2002,-0.019
2002,-0.038
2002,0.066
2002,
2002,-0.146
2002,-0.13
2002,0.031
2002,-0.058
2002,0.07
2002,-0.084
